Okra (fresh),1 cup or 7 (3in) pods,,32.00,0.08,0.20,0.00,0.00,0.00,7.00,7.50,3.20,1.50,1.90,14.00,38.00,8.00,3.00,7.19,10.43,43.42,10.65,0.10
Onions (fresh),1 medium onion,,45.00,0.15,0.10,0.00,0.00,0.00,5.00,11.00,3.00,9.00,1.00,0.00,20.00,4.00,4.00,0.49,6.59,33.56,18.32,0.07
Potatoes (fresh),1 medium potato,,110.00,0.15,0.20,0.00,0.00,0.00,0.00,26.00,2.00,1.00,3.00,0.00,45.00,2.00,6.00,0.97,9.01,17.78,23.92,0.04
Pumpkin (fresh),3/4 cup chopped,,23.00,0.09,0.10,0.00,0.00,0.00,1.00,5.70,0.40,2.40,0.90,147.00,13.00,1.50,3.00,2.52,2.35,16.56,6.87,0.01
Radishes (fresh),7 radishes,,1.47,0.09,0.10,0.00,0.00,0.00,55.00,3.00,1.00,2.00,0.00,0.00,30.00,2.00,2.00,0.23,1.30,7.26,4.26,0.06
Romaine and leaf lettuce (fresh),1.5 cups chopped,,15.00,0.09,0.30,0.00,0.00,0.00,35.00,2.00,1.00,1.00,1.00,130.00,6.00,2.00,4.00,2.50,3.05,7.05,5.11,0.12
Green beans (fresh),3/4 cup cut,,20.00,0.08,0.10,0.00,0.00,0.00,0.00,5.00,3.00,2.00,1.00,4.00,10.00,4.00,2.00,7.46,7.98,26.36,15.53,0.11
Spinach (fresh),3 cups chopped or 1/2 cup cooked,,20.00,0.09,0.20,0.00,0.00,0.00,63.00,3.40,2.20,0.40,2.70,189.00,14.50,12.00,17.50,1.49,2.27,8.00,11.15,0.02
Squash (fresh),1/2 medium squash,,20.00,0.10,0.20,0.10,0.00,0.00,0.00,4.00,2.00,2.00,1.00,6.00,30.00,2.00,2.00,2.84,2.64,18.65,7.74,0.01
Sweet corn (fresh),1/2 cup,,90.00,0.09,1.40,0.30,0.00,0.00,0.00,18.00,2.00,5.00,4.00,2.00,10.00,0.00,2.00,0.74,14.12,40.96,7.89,0.06
Sweet potatoes (fresh),1 medium potato,,100.00,0.13,0.10,0.00,0.00,0.00,70.00,23.00,4.00,7.00,2.00,120.00,30.00,4.00,4.00,0.85,4.07,34.72,43.92,0.03
Tomatoes (fresh),1 medium tomato,,25.00,0.15,0.30,0.00,0.00,0.00,20.00,5.00,1.00,3.00,1.00,20.00,40.00,2.00,4.00,7.71,10.18,10.27,4.77,0.40
Turnip greens (fresh),1.5 cups chopped or 1/2 cup cooked,,26.00,0.03,0.30,0.10,0.00,0.00,33.00,5.90,2.60,0.70,1.20,110.00,33.00,9.00,3.00,0.45,1.45,3.15,1.69,0.02
Asparagus (canned),1/2 cup,,121.00,0.10,0.80,0.20,0.00,0.00,347.00,3.00,1.90,1.30,2.60,20.00,37.00,2.00,12.50,1.38,76.33,129.87,48.74,0.43
Cabbage (canned),1/2 cup,,22.00,0.12,0.20,0.00,0.00,0.00,780.00,5.10,3.40,2.10,1.10,0.50,22.00,3.00,8.00,1.55,8.55,17.93,7.83,0.07
